Location served,State,ICAO,IATA,type of airport,Airport name
Aachen,North Rhine-Westphalia,EDKA,AAH,Civil airports,Aachen-Merzbrück Airport
Allendorf,Hesse,EDFQ,,Civil airports,Allendorf Airport
Altenburg,Thuringia,EDAC,AOC,Civil airports,Leipzig-Altenburg Airport
Augsburg,Bavaria,EDMA,AGB,Civil airports,Augsburg Airport
Bad Gandersheim,Lower Saxony,EDVA,,Civil airports,Bad Gandersheim Aerodrome
Bad Kissingen,Bavaria,EDFK,,Civil airports,Bad Kissingen Airfield
Bamberg,Bavaria,EDQA / ETEJ,ZCD,Civil airports,Bamberg-Breitenau Airfield
Barth,Mecklenburg-Vorpommern,EDBH,BBH,Civil airports,Stralsund–Barth Airport
Berlin,Brandenburg,EDDB,BER,Civil airports,Berlin Brandenburg Airport
Bindlach,Bavaria,EDQD,BYU,Civil airports,Bayreuth Airport
Bitburg,Rhineland-Palatinate,EDRB,BBJ,Civil airports,Bitburg Airport
Borkum,Lower Saxony,EDWR,BMK,Civil airports,Borkum Airfield
Bramsche,Lower Saxony,EDXA,,Civil airports,Achmer Aerodrome
Braunschweig,Lower Saxony,EDVE,BWE,Civil airports,Braunschweig Wolfsburg Airport
Bremen,Free Hanseatic City of Bremen,EDDW,BRE,Civil airports,Bremen Airport
Cologne,North Rhine-Westphalia,EDDK,CGN,Civil airports,Cologne Bonn Airport
Cuxhaven,Lower Saxony,ETMN,FCN,Civil airports,Sea-Airport Cuxhaven/Nordholz
Dortmund,North Rhine-Westphalia,EDLW,DTM,Civil airports,Dortmund Airport
Dresden,Saxony,EDDC,DRS,Civil airports,Dresden Airport
Düsseldorf,North Rhine-Westphalia,EDDL,DUS,Civil airports,Düsseldorf Airport
Düsseldorf,North Rhine-Westphalia,EDLN,MGL,Civil airports,Mönchengladbach Airport
Egelsbach,Hesse,EDFE,,Civil airports,Frankfurt Egelsbach Airport
Emden,Lower Saxony,EDWE,EME,Civil airports,Emden Airport
Erfurt,Thuringia,EDDE,ERF,Civil airports,Erfurt-Weimar Airport
Frankfurt am Main,Hesse,EDDF,FRA,Civil airports,Frankfurt Airport
Freiburg im Breisgau,Baden-Württemberg,EDTF,QFB,Civil airports,Freiburg Airport
Friedrichshafen,Baden-Württemberg,EDNY,FDH,Civil airports,Friedrichshafen Airport
Giebelstadt,Bavaria,EDQG / ETEU,GHF,Civil airports,Giebelstadt Airport
Hahn,Rhineland-Palatinate,EDFH,HHN,Civil airports,Frankfurt-Hahn Airport
Hamburg,Hamburg,EDDH,HAM,Civil airports,Hamburg Airport
Hamburg,Hamburg,EDHI,XFW,Civil airports,Airbus Hamburg-Finkenwerder
Hannover,Lower Saxony,EDDV,HAJ,Civil airports,Hannover Airport
Heide,Schleswig-Holstein,EDXB,HEI,Civil airports,Heide-Büsum Airport
Heist,Schleswig-Holstein,EDHE,,Civil airports,Uetersen Airfield
Heligoland,Schleswig-Holstein,EDXH,HGL,Civil airports,Heligoland Airfield
Heringsdorf,Mecklenburg-Vorpommern,EDAH,HDF,Civil airports,Heringsdorf Airport
Hof,Bavaria,EDQM,HOQ,Civil airports,Hof-Plauen Airport
Hoppstädten,Rhineland-Palatinate,EDRH,,Civil airports,Hoppstädten-Weiersbach Airfield
Ingolstadt,Bavaria,ETSI,IGS,Civil airports,Ingolstadt Manching Airport
Karlsruhe,Baden-Württemberg,EDSB,FKB,Civil airports,Karlsruhe/Baden-Baden Airport
Kassel,Hesse,EDVK,KSF,Civil airports,Kassel Airport
Kiel,Schleswig-Holstein,EDHK,KEL,Civil airports,Kiel Airport
Lahr,Baden-Württemberg,EDTL,LHA,Civil airports,Flughafen Lahr
Langenlonsheim,Rhineland-Palatinate,EDEL,,Civil airports,Langenlonsheim Airfield
Leipzig,Saxony,EDDP,LEJ,Civil airports,Leipzig/Halle Airport
Lübeck,Schleswig-Holstein,EDHL,LBC,Civil airports,Lübeck Airport
Magdeburg,Saxony-Anhalt,EDBC,CSO,Civil airports,Magdeburg-Cochstedt Airport
Mainz,Rhineland-Palatinate,EDFZ,,Civil airports,Mainz-Finthen Airport
Mannheim,Baden-Württemberg,EDFM,MHG,Civil airports,Mannheim City Airport
Memmingen,Bavaria,EDJA,FMM,Civil airports,Memmingen Airport
Munich,Bavaria,EDDM,MUC,Civil airports,Munich Airport
Münster,North Rhine-Westphalia,EDDG,FMO,Civil airports,Münster Osnabrück International Airport
Nannhausen,Rhineland-Palatinate,EDRN,,Civil airports,Nannhausen Airfield
Neubrandenburg,Mecklenburg-Vorpommern,EDBN / ETNU,FNB,Civil airports,Neubrandenburg Airport
Neuhardenberg,Brandenburg,EDON,,Civil airports,
Nuremberg,Bavaria,EDDN,NUE,Civil airports,Nuremberg Airport
Osnabrück,Lower Saxony,EDWO,,Civil airports,Atterheide Airfield
Paderborn,North Rhine-Westphalia,EDLP,PAD,Civil airports,Paderborn Lippstadt Airport
Rechlin,Mecklenburg-Vorpommern,EDAX,REB,Civil airports,Rechlin-Lärz Airfield
Rostock,Mecklenburg-Vorpommern,ETNL,RLG,Civil airports,Rostock-Laage Airport
Saarbrücken,Saarland,EDDR,SCN,Civil airports,Saarbrücken Airport
Siegen,North Rhine-Westphalia,EDGS,SGE,Civil airports,Siegerland Airport
Stadtlohn,North Rhine-Westphalia,EDLS,,Civil airports,Stadtlohn-Vreden Airport
Stuttgart,Baden-Württemberg,EDDS,STR,Civil airports,Stuttgart Airport
Trier,Rhineland-Palatinate,EDRT,,Civil airports,Trier-Föhren Airfield
Wangerooge,Lower Saxony,EDWG,AGE,Civil airports,Wangerooge Airfield
